Model	Vehicle	Riparian	Proximity	Barrier	Attraction
153	LT	Distbuffer	None	Por	Hab
154	ST	Distbuffer	None	Por	Hab
155	MB	Distbuffer	None	Por	Hab
156	LB	Distbuffer	None	Por	Hab
157	LT	Adjacent	Low	Por	Hab
158	ST	Adjacent	Low	Por	Hab
159	MB	Adjacent	Low	Por	Hab
160	LB	Adjacent	Low	Por	Hab
161	LT	Topbuffer	Low	Por	Hab
162	ST	Topbuffer	Low	Por	Hab
163	MB	Topbuffer	Low	Por	Hab
164	LB	Topbuffer	Low	Por	Hab
165	LT	Distbuffer	Low	Por	Hab
166	ST	Distbuffer	Low	Por	Hab
167	MB	Distbuffer	Low	Por	Hab
168	LB	Distbuffer	Low	Por	Hab
169	LT	Adjacent	High	Por	Hab
170	ST	Adjacent	High	Por	Hab
171	MB	Adjacent	High	Por	Hab
172	LB	Adjacent	High	Por	Hab
173	LT	Topbuffer	High	Por	Hab
174	ST	Topbuffer	High	Por	Hab
175	MB	Topbuffer	High	Por	Hab
176	LB	Topbuffer	High	Por	Hab
177	LT	Distbuffer	High	Por	Hab
178	ST	Distbuffer	High	Por	Hab
179	MB	Distbuffer	High	Por	Hab
180	LB	Distbuffer	High	Por	Hab
181	LT	Adjacent	None	Abs	Hab
182	ST	Adjacent	None	Abs	Hab
183	MB	Adjacent	None	Abs	Hab
184	LB	Adjacent	None	Abs	Hab
185	LT	Topbuffer	None	Abs	Hab
186	ST	Topbuffer	None	Abs	Hab
187	MB	Topbuffer	None	Abs	Hab
188	LB	Topbuffer	None	Abs	Hab
189	LT	Distbuffer	None	Abs	Hab
190	ST	Distbuffer	None	Abs	Hab
191	MB	Distbuffer	None	Abs	Hab
192	LB	Distbuffer	None	Abs	Hab
193	LT	Adjacent	Low	Abs	Hab
194	ST	Adjacent	Low	Abs	Hab
195	MB	Adjacent	Low	Abs	Hab
196	LB	Adjacent	Low	Abs	Hab
197	LT	Topbuffer	Low	Abs	Hab
198	ST	Topbuffer	Low	Abs	Hab
199	MB	Topbuffer	Low	Abs	Hab
200	LB	Topbuffer	Low	Abs	Hab
201	LT	Distbuffer	Low	Abs	Hab
202	ST	Distbuffer	Low	Abs	Hab
203	MB	Distbuffer	Low	Abs	Hab
204	LB	Distbuffer	Low	Abs	Hab
205	LT	Adjacent	High	Abs	Hab
206	ST	Adjacent	High	Abs	Hab
207	MB	Adjacent	High	Abs	Hab
208	LB	Adjacent	High	Abs	Hab
209	LT	Topbuffer	High	Abs	Hab
210	ST	Topbuffer	High	Abs	Hab
211	MB	Topbuffer	High	Abs	Hab
212	LB	Topbuffer	High	Abs	Hab
213	LT	Distbuffer	High	Abs	Hab
214	ST	Distbuffer	High	Abs	Hab
215	MB	Distbuffer	High	Abs	Hab
216	LB	Distbuffer	High	Abs	Hab
217	LT	Adjacent	None	None	Area
218	ST	Adjacent	None	None	Area
219	MB	Adjacent	None	None	Area
220	LB	Adjacent	None	None	Area
221	LT	Topbuffer	None	None	Area
222	ST	Topbuffer	None	None	Area
223	MB	Topbuffer	None	None	Area
224	LB	Topbuffer	None	None	Area
225	LT	Distbuffer	None	None	Area
226	ST	Distbuffer	None	None	Area
227	MB	Distbuffer	None	None	Area
228	LB	Distbuffer	None	None	Area
229	LT	Adjacent	Low	None	Area
230	ST	Adjacent	Low	None	Area
231	MB	Adjacent	Low	None	Area
232	LB	Adjacent	Low	None	Area
233	LT	Topbuffer	Low	None	Area
234	ST	Topbuffer	Low	None	Area
235	MB	Topbuffer	Low	None	Area
236	LB	Topbuffer	Low	None	Area
237	LT	Distbuffer	Low	None	Area
238	ST	Distbuffer	Low	None	Area
239	MB	Distbuffer	Low	None	Area
240	LB	Distbuffer	Low	None	Area
241	LT	Adjacent	High	None	Area
242	ST	Adjacent	High	None	Area
243	MB	Adjacent	High	None	Area
244	LB	Adjacent	High	None	Area
245	LT	Topbuffer	High	None	Area
246	ST	Topbuffer	High	None	Area
247	MB	Topbuffer	High	None	Area
248	LB	Topbuffer	High	None	Area
249	LT	Distbuffer	High	None	Area
250	ST	Distbuffer	High	None	Area
251	MB	Distbuffer	High	None	Area
252	LB	Distbuffer	High	None	Area
253	LT	Adjacent	None	Por	Area
254	ST	Adjacent	None	Por	Area
255	MB	Adjacent	None	Por	Area
256	LB	Adjacent	None	Por	Area
257	LT	Topbuffer	None	Por	Area
258	ST	Topbuffer	None	Por	Area
259	MB	Topbuffer	None	Por	Area
260	LB	Topbuffer	None	Por	Area
261	LT	Distbuffer	None	Por	Area
262	ST	Distbuffer	None	Por	Area
263	MB	Distbuffer	None	Por	Area
264	LB	Distbuffer	None	Por	Area
265	LT	Adjacent	Low	Por	Area
266	ST	Adjacent	Low	Por	Area
267	MB	Adjacent	Low	Por	Area
268	LB	Adjacent	Low	Por	Area
269	LT	Topbuffer	Low	Por	Area
270	ST	Topbuffer	Low	Por	Area
271	MB	Topbuffer	Low	Por	Area
272	LB	Topbuffer	Low	Por	Area
273	LT	Distbuffer	Low	Por	Area
274	ST	Distbuffer	Low	Por	Area
275	MB	Distbuffer	Low	Por	Area
276	LB	Distbuffer	Low	Por	Area
277	LT	Adjacent	High	Por	Area
278	ST	Adjacent	High	Por	Area
279	MB	Adjacent	High	Por	Area
280	LB	Adjacent	High	Por	Area
281	LT	Topbuffer	High	Por	Area
282	ST	Topbuffer	High	Por	Area
283	MB	Topbuffer	High	Por	Area
284	LB	Topbuffer	High	Por	Area
285	LT	Distbuffer	High	Por	Area
286	ST	Distbuffer	High	Por	Area
287	MB	Distbuffer	High	Por	Area
288	LB	Distbuffer	High	Por	Area
289	LT	Adjacent	None	Abs	Area
290	ST	Adjacent	None	Abs	Area
291	MB	Adjacent	None	Abs	Area
292	LB	Adjacent	None	Abs	Area
293	LT	Topbuffer	None	Abs	Area
294	ST	Topbuffer	None	Abs	Area
295	MB	Topbuffer	None	Abs	Area
296	LB	Topbuffer	None	Abs	Area
297	LT	Distbuffer	None	Abs	Area
298	ST	Distbuffer	None	Abs	Area
299	MB	Distbuffer	None	Abs	Area
300	LB	Distbuffer	None	Abs	Area
301	LT	Adjacent	Low	Abs	Area
302	ST	Adjacent	Low	Abs	Area
303	MB	Adjacent	Low	Abs	Area
304	LB	Adjacent	Low	Abs	Area
305	LT	Topbuffer	Low	Abs	Area
306	ST	Topbuffer	Low	Abs	Area
307	MB	Topbuffer	Low	Abs	Area
308	LB	Topbuffer	Low	Abs	Area
309	LT	Distbuffer	Low	Abs	Area
310	ST	Distbuffer	Low	Abs	Area
311	MB	Distbuffer	Low	Abs	Area
312	LB	Distbuffer	Low	Abs	Area
313	LT	Adjacent	High	Abs	Area
314	ST	Adjacent	High	Abs	Area
315	MB	Adjacent	High	Abs	Area
316	LB	Adjacent	High	Abs	Area
317	LT	Topbuffer	High	Abs	Area
318	ST	Topbuffer	High	Abs	Area
319	MB	Topbuffer	High	Abs	Area
320	LB	Topbuffer	High	Abs	Area
321	LT	Distbuffer	High	Abs	Area
322	ST	Distbuffer	High	Abs	Area
323	MB	Distbuffer	High	Abs	Area
324	LB	Distbuffer	High	Abs	Area
325	LT	Adjacent	None	None	None
326	ST	Adjacent	None	None	None
327	MB	Adjacent	None	None	None
328	LB	Adjacent	None	None	None
329	LT	Topbuffer	None	None	None
330	ST	Topbuffer	None	None	None
331	MB	Topbuffer	None	None	None
332	LB	Topbuffer	None	None	None
333	LT	Distbuffer	None	None	None
334	ST	Distbuffer	None	None	None
335	MB	Distbuffer	None	None	None
336	LB	Distbuffer	None	None	None
337	LT	Adjacent	Low	None	None
338	ST	Adjacent	Low	None	None
339	MB	Adjacent	Low	None	None
340	LB	Adjacent	Low	None	None
341	LT	Topbuffer	Low	None	None
342	ST	Topbuffer	Low	None	None
343	MB	Topbuffer	Low	None	None
344	LB	Topbuffer	Low	None	None
345	LT	Distbuffer	Low	None	None
346	ST	Distbuffer	Low	None	None
347	MB	Distbuffer	Low	None	None
348	LB	Distbuffer	Low	None	None
349	LT	Adjacent	High	None	None
350	ST	Adjacent	High	None	None
351	MB	Adjacent	High	None	None
352	LB	Adjacent	High	None	None
353	LT	Topbuffer	High	None	None
354	ST	Topbuffer	High	None	None
355	MB	Topbuffer	High	None	None
356	LB	Topbuffer	High	None	None
357	LT	Distbuffer	High	None	None
358	ST	Distbuffer	High	None	None
359	MB	Distbuffer	High	None	None
360	LB	Distbuffer	High	None	None
361	LT	Adjacent	None	Por	None
362	ST	Adjacent	None	Por	None
363	MB	Adjacent	None	Por	None
364	LB	Adjacent	None	Por	None
365	LT	Topbuffer	None	Por	None
366	ST	Topbuffer	None	Por	None
367	MB	Topbuffer	None	Por	None
368	LB	Topbuffer	None	Por	None
369	LT	Distbuffer	None	Por	None
370	ST	Distbuffer	None	Por	None
371	MB	Distbuffer	None	Por	None
372	LB	Distbuffer	None	Por	None
373	LT	Adjacent	Low	Por	None
374	ST	Adjacent	Low	Por	None
375	MB	Adjacent	Low	Por	None
376	LB	Adjacent	Low	Por	None
377	LT	Topbuffer	Low	Por	None
378	ST	Topbuffer	Low	Por	None
379	MB	Topbuffer	Low	Por	None
380	LB	Topbuffer	Low	Por	None
381	LT	Distbuffer	Low	Por	None
382	ST	Distbuffer	Low	Por	None
383	MB	Distbuffer	Low	Por	None
